year,season,noc,team,sport,event,medal
1936,Summer,GBR,Great Britain,Athletics,Athletics Men's Marathon,Silver
1976,Summer,USA,United States,Swimming,Swimming Men's 200 metres Backstroke,Bronze
1920,Summer,USA,United States,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1984,Summer,USA,United States,Athletics,Athletics Men's 400 metres Hurdles,Silver
1998,Winter,CAN,Canada,Curling,Curling Men's Curling,Silver
2004,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Silver
1948,Summer,GBR,Great Britain,Cycling,Cycling Men's Sprint,Silver
1968,Summer,USA,United States,Boxing,Boxing Men's Lightweight,Gold
1964,Summer,USA,United States,Boxing,Boxing Men's Lightweight,Bronze
1996,Summer,USA,United States,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
2000,Summer,USA,United States,Athletics,Athletics Men's 400 metres,Silver
2000,Summer,GBR,Great Britain,Boxing,Boxing Men's Super-Heavyweight,Gold
1952,Summer,RSA,South Africa,Swimming,Swimming Women's 100 metres Backstroke,Gold
2012,Summer,USA,United States,Judo,Judo Women's Half-Heavyweight,Gold
2016,Summer,USA,United States,Judo,Judo Women's Half-Heavyweight,Gold
1996,Summer,USA,United States,Athletics,Athletics Men's Triple Jump,Gold
2000,Summer,AUS,Australia,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
2004,Summer,AUS,Australia,Triathlon,Triathlon Women's Olympic Distance,Silver
1952,Summer,DEN,Denmark,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
1956,Summer,DEN,Denmark,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
2016,Summer,GER,Germany,Athletics,Athletics Men's Discus Throw,Gold
2012,Summer,GER,Germany,Athletics,Athletics Men's Discus Throw,Gold
2004,Summer,CAN,Canada,Diving,Diving Women's Synchronized Platform,Bronze
2012,Summer,RSA,South Africa,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Bronze
1960,Summer,GER,Germany,Canoeing,"Canoeing Women's Kayak Doubles, 500 metres",Silver
1924,Summer,SUI,Switzerland,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
1920,Summer,TCH,Czechoslovakia,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1924,Summer,USA,United States,Athletics,Athletics Men's Shot Put,Silver
1980,Summer,GDR,East Germany,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver
1992,Summer,USA,United States,Cycling,"Cycling Men's 1,000 metres Time Trial",Bronze
1996,Summer,USA,United States,Cycling,"Cycling Men's 1,000 metres Time Trial",Silver
1948,Summer,DEN,Denmark,Swimming,Swimming Women's 400 metres Freestyle,Silver
1948,Summer,DEN,Denmark,Swimming,Swimming Women's 100 metres Backstroke,Gold
2016,Summer,GER,Germany,Boxing,Boxing Men's Light-Welterweight,Bronze
1932,Summer,GBR,Great Britain,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze
1972,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze
1960,Summer,GER,Germany,Athletics,Athletics Men's 100 metres,Gold
2000,Summer,INA,Indonesia-1,Badminton,Badminton Mixed Doubles,Silver
1992,Summer,GER,Germany,Swimming,Swimming Women's 400 metres Freestyle,Gold
1992,Summer,GER,Germany,Swimming,Swimming Women's 200 metres Backstroke,Silver
1996,Summer,GER,Germany,Swimming,Swimming Women's 200 metres Freestyle,Bronze
1996,Summer,GER,Germany,Swimming,Swimming Women's 400 metres Freestyle,Silver
1996,Summer,GER,Germany,Swimming,Swimming Women's 800 metres Freestyle,Silver
1988,Summer,JPN,Japan,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
2006,Winter,ITA,Italy-1,Luge,Luge Mixed (Men)'s Doubles,Bronze
1936,Summer,AUT,Austria,Rowing,Rowing Men's Single Sculls,Silver
1992,Winter,JPN,Japan,Speed Skating,"Speed Skating Women's 1,500 metres",Bronze
1952,Summer,JPN,Japan,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
1948,Summer,EGY,Egypt,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
1936,Summer,GER,Germany,Equestrianism,"Equestrianism Men's Jumping, Individual",Gold
1948,Winter,FIN,Finland,Nordic Combined,Nordic Combined Men's Individual,Gold
1952,Winter,FIN,Finland,Nordic Combined,Nordic Combined Men's Individual,Silver
1952,Winter,FIN,Finland,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2004,Summer,USA,United States,Gymnastics,Gymnastics Women's Horse Vault,Silver
1904,Summer,USA,Chicago Athletic Association,Athletics,"Athletics Men's 4 mile, Team",Silver
1912,Summer,GBR,Great Britain,Swimming,Swimming Men's 400 metres Freestyle,Silver
1912,Summer,GBR,Great Britain,Swimming,"Swimming Men's 1,500 metres Freestyle",Silver
1956,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Kayak Singles, 10,000 metres",Silver
2012,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Middleweight, Freestyle",Bronze
2014,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's Sprint,Gold
1992,Winter,NOR,Norway,Freestyle Skiing,Freestyle Skiing Women's Moguls,Bronze
1994,Winter,NOR,Norway,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
1932,Summer,USA,United States,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
1924,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Gold
1924,Winter,NOR,Norway,Nordic Combined,Nordic Combined Men's Individual,Gold
1924,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
1924,Winter,USA,United States,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Bronze
1964,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
2000,Summer,JAM,Jamaica,Athletics,Athletics Men's 400 metres,Bronze
1952,Winter,NOR,Norway,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
1952,Summer,DEN,Denmark,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Gold
2008,Summer,GER,Germany,Diving,Diving Men's Synchronized Platform,Silver
2016,Summer,GER,Germany,Diving,Diving Men's Springboard,Bronze
2010,Winter,GER,Germany,Biathlon,Biathlon Women's 12.5 kilometres Mass Start,Bronze
2002,Winter,FIN,Finland,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",Bronze
2006,Winter,FIN,Finland,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",Silver
1948,Summer,TCH,Czechoslovakia,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver
1948,Summer,USA,United States,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Silver
1952,Summer,USA,United States,Canoeing,"Canoeing Men's Canadian Singles, 10,000 metres",Gold
1952,Summer,TCH,Czechoslovakia,Rowing,Rowing Men's Coxed Fours,Gold
1952,Summer,CAN,Canada,Canoeing,"Canoeing Men's Canadian Doubles, 10,000 metres",Silver
1908,Summer,GBR,Great Britain,Shooting,"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Silver
1912,Summer,USA,United States,Athletics,Athletics Men's 110 metres Hurdles,Bronze
2000,Summer,USA,United States,Weightlifting,Weightlifting Women's Super-Heavyweight,Bronze
1906,Summer,GBR,Great Britain,Athletics,Athletics Men's 5 mile,Gold
1932,Summer,GER,Germany,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
1936,Summer,GER,Germany,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",Silver
2012,Summer,JPN,Japan,Archery,Archery Women's Team,Bronze
1964,Summer,JPN,Japan,Gymnastics,Gymnastics Men's Rings,Gold
1964,Summer,IRI,Iran,Wrestling,"Wrestling Men's Flyweight, Freestyle",Bronze
2012,Summer,CAN,Canada,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1964,Summer,USA,United States,Athletics,Athletics Men's 100 metres,Gold
2004,Summer,USA,United States,Athletics,Athletics Women's 100 metres Hurdles,Gold
1908,Summer,USA,United States,Athletics,Athletics Men's Marathon,Gold
1960,Summer,AUS,Australia,Swimming,Swimming Men's 200 metres Butterfly,Silver
2004,Summer,GBR,Great Britain,Cycling,Cycling Men's Madison,Bronze
2002,Winter,USA,United States-1,Bobsleigh,Bobsleigh Men's Four,Silver
2008,Summer,CHN,China,Diving,Diving Men's Springboard,Gold
2012,Summer,CHN,China,Diving,Diving Men's Springboard,Bronze
2008,Summer,CHN,China-1,Badminton,Badminton Mixed Doubles,Bronze
2008,Summer,CHN,China,Gymnastics,Gymnastics Women's Uneven Bars,Gold
2012,Summer,CHN,China,Gymnastics,Gymnastics Women's Uneven Bars,Silver
2008,Summer,CHN,China,Trampolining,Trampolining Women's Individual,Gold
2012,Summer,CHN,China,Trampolining,Trampolining Women's Individual,Bronze
1996,Summer,CHN,China,Archery,Archery Women's Individual,Silver
2004,Summer,CHN,China,Archery,Archery Women's Team,Silver
1988,Summer,CHN,China,Weightlifting,Weightlifting Men's Bantamweight,Silver
1992,Summer,CHN,China,Weightlifting,Weightlifting Men's Featherweight,Bronze
1988,Summer,CHN,China,Weightlifting,Weightlifting Men's Flyweight,Bronze
2012,Summer,CHN,China,Diving,Diving Women's Springboard,Silver
2012,Summer,CHN,China,Diving,Diving Women's Synchronized Springboard,Gold
2016,Summer,CHN,China,Diving,Diving Women's Springboard,Silver
2016,Summer,NED,Netherlands,Rowing,Rowing Women's Lightweight Double Sculls,Gold
1906,Summer,GBR,Great Britain,Athletics,Athletics Men's 110 metres Hurdles,Silver
1906,Summer,AUS,Australia,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1912,Summer,ANZ,Australasia,Swimming,Swimming Men's 100 metres Freestyle,Silver
1992,Summer,USA,United States,Sailing,Sailing Women's Two Person Dinghy,Bronze
1904,Summer,USA,United States,Athletics,"Athletics Men's 1,500 metres",Bronze
1984,Summer,GBR,Great Britain,Athletics,Athletics Women's Long Jump,Bronze
2012,Summer,GBR,Great Britain,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Bronze
2016,Summer,GBR,Great Britain,Canoeing,"Canoeing Men's Kayak Singles, 200 metres",Gold
2016,Summer,GBR,Great Britain,Canoeing,"Canoeing Men's Kayak Doubles, 200 metres",Silver
1984,Summer,USA,United States,Swimming,Swimming Men's 200 metres Freestyle,Silver
1964,Summer,GBR,Great Britain,Athletics,Athletics Men's Marathon,Silver
1928,Winter,USA,United States,Skeleton,Skeleton Men's Skeleton,Silver
1932,Winter,USA,United States-2,Bobsleigh,Bobsleigh Men's Two,Bronze
1948,Winter,USA,United States,Skeleton,Skeleton Men's Skeleton,Silver
1928,Winter,USA,United States,Skeleton,Skeleton Men's Skeleton,Gold
1984,Summer,FRA,France,Shooting,"Shooting Men's Air Rifle, 10 metres",Gold
1912,Summer,USA,United States,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
1912,Summer,USA,United States,Swimming,Swimming Men's 100 metres Backstroke,Gold
1960,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
1964,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Women's Downhill,Bronze
1924,Summer,DEN,Denmark,Fencing,"Fencing Women's Foil, Individual",Bronze
1992,Summer,CAN,Canada,Rowing,Rowing Women's Coxless Pairs,Gold
1996,Summer,CAN,Canada,Rowing,Rowing Women's Double Sculls,Gold
1996,Summer,USA,United States,Swimming,Swimming Women's 100 metres Backstroke,Silver
1996,Summer,USA,United States,Swimming,Swimming Women's 200 metres Backstroke,Silver
1928,Summer,USA,United States,Athletics,Athletics Men's High Jump,Silver
1948,Winter,SWE,Sweden,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
1928,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
2006,Winter,USA,United States,Speed Skating,"Speed Skating Men's 1,500 metres",Bronze
2006,Winter,USA,United States,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
2006,Winter,USA,United States,Speed Skating,"Speed Skating Men's 10,000 metres",Silver
2010,Winter,USA,United States,Speed Skating,"Speed Skating Men's 1,000 metres",Bronze
1960,Summer,NED,Netherlands,Swimming,Swimming Women's 100 metres Butterfly,Silver
1908,Summer,RSA,South Africa,Athletics,Athletics Men's Marathon,Silver
1972,Summer,HUN,Hungary,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold
1992,Summer,HUN,Hungary,Fencing,"Fencing Men's epee, Team",Silver
2008,Summer,AUS,Australia,Rowing,Rowing Men's Coxless Fours,Silver
1984,Summer,USA,United States,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Gold
1928,Winter,NOR,Norway,Cross Country Skiing,Cross Country Skiing Men's 18 kilometres,Silver
1960,Winter,CAN,Canada,Alpine Skiing,Alpine Skiing Women's Slalom,Gold
1976,Summer,FRG,West Germany,Fencing,"Fencing Men's epee, Individual",Silver
1904,Summer,USA,United States,Gymnastics,"Gymnastics Men's Individual All-Around, 4 Events",Gold
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Parallel Bars,Silver
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Side Horse,Gold
2004,Summer,IRI,Iran,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
2008,Summer,GER,Germany,Fencing,"Fencing Women's epee, Individual",Gold
2012,Summer,GER,Germany,Fencing,"Fencing Women's epee, Individual",Silver
1952,Summer,GER,Germany,Boxing,Boxing Men's Welterweight,Bronze
1980,Winter,USA,United States,Speed Skating,"Speed Skating Women's 3,000 metres",Bronze
1980,Winter,USA,United States,Speed Skating,Speed Skating Men's 500 metres,Gold
1980,Winter,USA,United States,Speed Skating,"Speed Skating Men's 1,000 metres",Gold
1980,Winter,USA,United States,Speed Skating,"Speed Skating Men's 1,500 metres",Gold
1980,Winter,USA,United States,Speed Skating,"Speed Skating Men's 5,000 metres",Gold
1980,Winter,USA,United States,Speed Skating,"Speed Skating Men's 10,000 metres",Gold
1972,Summer,USA,United States,Swimming,Swimming Men's 100 metres Freestyle,Silver
1972,Summer,USA,United States,Swimming,Swimming Men's 100 metres Butterfly,Bronze
2012,Summer,GER,Germany,Athletics,Athletics Women's Hammer Throw,Bronze
1988,Summer,NOR,Norway,Shooting,"Shooting Men's Running Target, 50 metres",Gold
1948,Summer,NED,Netherlands,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
1952,Summer,NED,Netherlands,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
2016,Summer,GER,Germany,Sailing,Sailing Men's Skiff,Bronze
2006,Winter,CAN,Canada,Freestyle Skiing,Freestyle Skiing Women's Moguls,Gold
2010,Winter,CAN,Canada,Freestyle Skiing,Freestyle Skiing Women's Moguls,Silver
1980,Summer,GDR,East Germany,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Silver
2004,Summer,AUT,Austria,Judo,Judo Women's Half-Middleweight,Silver
1904,Summer,USA,United States,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Silver
1936,Summer,GER,Germany,Athletics,Athletics Men's Hammer Throw,Gold
1960,Summer,GER,Germany,Athletics,Athletics Women's 200 metres,Silver
1980,Summer,GDR,East Germany,Handball,Handball Women's Handball,Bronze
1996,Summer,NED,Netherlands,Sailing,Sailing Men's One Person Dinghy,Bronze
1952,Summer,GER,Germany,Rowing,Rowing Men's Coxed Pairs,Silver
1972,Summer,GDR,East Germany,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
1980,Summer,GDR,East Germany,Judo,Judo Men's Half-Middleweight,Bronze
1956,Summer,FIN,Finland,Gymnastics,Gymnastics Men's Team All-Around,Bronze
1948,Summer,FRA,France,Athletics,Athletics Men's Decathlon,Silver
1956,Winter,USA,United States,Figure Skating,Figure Skating Women's Singles,Silver
1960,Winter,USA,United States,Figure Skating,Figure Skating Women's Singles,Gold
1964,Winter,AUT,Austria,Figure Skating,Figure Skating Women's Singles,Silver
2012,Summer,CZE,Czech Republic,Athletics,Athletics Women's 400 metres Hurdles,Bronze
1928,Summer,GER,Germany,Weightlifting,Weightlifting Men's Lightweight,Gold
1976,Summer,FRG,West Germany,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
1924,Summer,LUX,Luxembourg,Art Competitions,Art Competitions Mixed Sculpturing,Silver
1908,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
1912,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Silver
1920,Summer,NOR,Norway,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Silver
1920,Summer,NOR,Norway,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Silver
1920,Summer,NOR,Norway,Shooting,"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Bronze
1948,Winter,NOR,Norway,Speed Skating,Speed Skating Men's 500 metres,Gold
2008,Summer,DEN,Don Schufro,Equestrianism,"Equestrianism Mixed Dressage, Team",Bronze
2010,Winter,FIN,Finland,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
1900,Summer,FRA,France,Archery,"Archery Men's Au Chapelet, 50 metres",Silver
2008,Summer,BEL,Belgium,Athletics,Athletics Women's High Jump,Gold
1976,Summer,TCH,Czechoslovakia,Rowing,Rowing Men's Quadruple Sculls,Bronze
1984,Summer,NED,Netherlands,Rowing,Rowing Women's Double Sculls,Silver
1976,Summer,USA,United States,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver
1956,Summer,CAN,Canada,Rowing,Rowing Men's Coxed Eights,Silver
1988,Summer,GDR,East Germany,Athletics,Athletics Women's Discus Throw,Gold
2010,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Gold
2010,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
2014,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,Silver
2014,Winter,SWE,Sweden,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
1924,Summer,SWE,Sweden,Fencing,"Fencing Men's epee, Individual",Bronze
1956,Summer,FIN,Finland,Athletics,Athletics Men's 400 metres,Bronze
1908,Summer,SWE,Vinga-1,Sailing,Sailing Mixed 8 metres,Silver
1906,Summer,SWE,Sweden,Athletics,"Athletics Men's 1,500 metres",Bronze
2004,Summer,AUS,Australia,Diving,Diving Men's Platform,Silver
2004,Summer,AUS,Australia,Diving,Diving Men's Synchronized Platform,Bronze
1976,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
1976,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
1980,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Gold
1980,Summer,GDR,East Germany,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
1968,Summer,GDR,East Germany,Athletics,Athletics Women's Shot Put,Gold
1972,Summer,GDR,East Germany,Athletics,Athletics Women's Shot Put,Silver
1976,Summer,FRG,West Germany,Athletics,Athletics Women's 100 metres,Bronze
1976,Summer,FRG,West Germany,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
1968,Summer,GBR,Great Britain,Athletics,Athletics Men's 400 metres Hurdles,Gold
1972,Summer,GBR,Great Britain,Athletics,Athletics Men's 400 metres Hurdles,Bronze
1972,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
2004,Summer,USA,United States,Athletics,Athletics Men's High Jump,Silver
1976,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
1996,Summer,JAM,Jamaica,Athletics,Athletics Women's 400 metres Hurdles,Gold
2000,Summer,JAM,Jamaica,Athletics,Athletics Women's 400 metres Hurdles,Silver
1996,Summer,GER,Germany,Diving,Diving Men's Platform,Silver
2000,Summer,GER,Germany,Diving,Diving Men's Synchronized Platform,Bronze
1968,Summer,FRG,West Germany,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
1988,Summer,FRA,France,Sailing,Sailing Mixed Multihull,Gold
1992,Summer,FRA,France,Sailing,Sailing Mixed Multihull,Gold
1972,Summer,USA,United States,Swimming,Swimming Men's 100 metres Breaststroke,Bronze
1972,Summer,USA,United States,Swimming,Swimming Men's 200 metres Breaststroke,Gold
1976,Summer,USA,United States,Swimming,Swimming Men's 100 metres Breaststroke,Gold
1976,Summer,USA,United States,Swimming,Swimming Men's 200 metres Breaststroke,Silver
2016,Summer,USA,United States,Athletics,Athletics Men's Long Jump,Gold
2004,Summer,USA,United States,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
2000,Summer,INA,Indonesia,Badminton,Badminton Men's Singles,Silver
2016,Summer,NED,Netherlands,Rowing,Rowing Men's Coxed Eights,Bronze
1928,Winter,NOR,Norway,Figure Skating,Figure Skating Women's Singles,Gold
1932,Winter,NOR,Norway,Figure Skating,Figure Skating Women's Singles,Gold
1936,Winter,NOR,Norway,Figure Skating,Figure Skating Women's Singles,Gold
2004,Summer,BEL,Belgium,Tennis,Tennis Women's Singles,Gold
1992,Summer,GER,Germany,Swimming,Swimming Women's 800 metres Freestyle,Bronze
2002,Winter,GER,Germany,Biathlon,Biathlon Women's 15 kilometres,Gold
1912,Summer,GBR,Great Britain,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1988,Summer,FRG,West Germany,Cycling,"Cycling Men's Road Race, Individual",Bronze
1968,Summer,USA,United States,Swimming,Swimming Women's 100 metres Freestyle,Gold
1968,Summer,USA,United States,Swimming,Swimming Women's 200 metres Freestyle,Silver
1968,Summer,USA,United States,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
1960,Winter,GER,Germany,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
1904,Summer,USA,United States,Gymnastics,Gymnastics Men's Club Swinging,Gold
1968,Summer,FRG,West Germany,Athletics,Athletics Men's 400 metres Hurdles,Silver
1968,Summer,FRG,West Germany,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1972,Winter,USA,United States,Speed Skating,Speed Skating Women's 500 metres,Gold
1972,Winter,USA,United States,Speed Skating,"Speed Skating Women's 1,000 metres",Bronze
1984,Summer,CAN,Canada,Swimming,Swimming Men's 200 metres Backstroke,Bronze
1912,Summer,SWE,Sweden,Swimming,Swimming Men's 400 metres Breaststroke,Silver
1920,Summer,SWE,Sweden,Swimming,Swimming Men's 200 metres Breaststroke,Silver
1920,Summer,SWE,Sweden,Swimming,Swimming Men's 400 metres Breaststroke,Silver
1956,Summer,AUS,Australia,Swimming,Swimming Men's 100 metres Freestyle,Gold
1912,Summer,SWE,Sans Atout-1,Sailing,Sailing Mixed 8 metres,Silver
1900,Summer,HAI,Union des Socits Franais de Sports Athletiques,Rugby,Rugby Men's Rugby,Gold
1900,Summer,COL,Racing Club de France,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Silver
1948,Summer,USA,United States,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver
1992,Summer,FRA,France,Fencing,"Fencing Men's epee, Individual",Bronze
1996,Summer,FRA,France,Fencing,"Fencing Men's epee, Team",Bronze
1968,Summer,USA,United States,Diving,Diving Men's Springboard,Bronze
2004,Summer,AUS,Australia,Swimming,Swimming Women's 100 metres Freestyle,Gold
2004,Summer,AUS,Australia,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
1952,Winter,USA,United States,Speed Skating,Speed Skating Men's 500 metres,Gold
1928,Summer,GER,Germany,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Gold
1952,Summer,USA,United States,Wrestling,"Wrestling Men's Featherweight, Freestyle",Bronze
2000,Summer,USA,United States,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver
1992,Summer,GBR,Great Britain,Rowing,Rowing Men's Coxed Pairs,Gold
1936,Summer,GER,Germany,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Bronze
2000,Summer,RSA,South Africa,Athletics,Athletics Men's 400 metres Hurdles,Bronze
2006,Winter,AUT,Austria,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
1936,Summer,TCH,Czechoslovakia,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
1928,Summer,TCH,Czechoslovakia,Boxing,Boxing Men's Middleweight,Silver
1932,Summer,USA,United States,Gymnastics,Gymnastics Men's Tumbling,Bronze
1920,Summer,BEL,Belgium,Archery,"Archery Men's Pole Archery, Small Birds, Individual",Bronze
2004,Summer,ESP,Spain,Cycling,"Cycling Men's Mountainbike, Cross-Country",Silver
2008,Summer,CUB,Cuba,Judo,Judo Women's Middleweight,Silver
1992,Summer,CUB,Cuba,Boxing,Boxing Men's Middleweight,Gold
1996,Summer,CUB,Cuba,Boxing,Boxing Men's Middleweight,Gold
2016,Summer,MEX,Mexico,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
1992,Summer,CUB,Cuba,Judo,Judo Men's Half-Lightweight,Bronze
1996,Summer,CUB,Cuba,Judo,Judo Men's Half-Lightweight,Bronze
1976,Summer,CUB,Cuba,Boxing,Boxing Men's Light-Flyweight,Gold
2016,Summer,USA,United States,Gymnastics,Gymnastics Women's Balance Beam,Silver
2016,Summer,USA,United States,Boxing,Boxing Men's Light-Flyweight,Bronze
2000,Summer,MEX,Mexico,Athletics,Athletics Men's 20 kilometres Walk,Silver
1992,Summer,CUB,Cuba,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
2016,Summer,VEN,Venezuela,Cycling,Cycling Women's BMX,Bronze
2008,Summer,CUB,Cuba,Boxing,Boxing Men's Light-Flyweight,Bronze
1980,Summer,CUB,Cuba,Boxing,Boxing Men's Bantamweight,Gold
1992,Summer,CUB,Cuba,Boxing,Boxing Men's Welterweight,Silver
1996,Summer,CUB,Cuba,Boxing,Boxing Men's Welterweight,Silver
1956,Summer,HUN,Hungary,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Silver
1988,Summer,GDR,East Germany,Athletics,"Athletics Men's 1,500 metres",Bronze
1900,Summer,FRA,France,Archery,"Archery Men's Au Cordon Dore, 50 metres",Gold
1900,Summer,FRA,France,Archery,Archery Men's Championnat Du Monde,Gold
1976,Summer,CUB,Cuba,Boxing,Boxing Men's Featherweight,Gold
1980,Summer,CUB,Cuba,Boxing,Boxing Men's Lightweight,Gold
1952,Summer,ARG,Argentina,Boxing,Boxing Men's Light-Middleweight,Bronze
1948,Summer,USA,United States,Boxing,Boxing Men's Welterweight,Silver
1964,Summer,GBR,Great Britain,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
1976,Summer,FRG,West Germany,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
1912,Summer,DEN,Nurdug II,Sailing,Sailing Mixed 6 metres,Silver
1896,Summer,AUT,Austria,Swimming,Swimming Men's 100 metres Freestyle,Silver
1920,Summer,CAN,Canada,Boxing,Boxing Men's Middleweight,Bronze
1920,Summer,NOR,Eleda,Sailing,Sailing Mixed 10 metres,Gold
1928,Winter,GER,Germany-2,Bobsleigh,Bobsleigh Men's Four/Five,Bronze
1976,Summer,GDR,East Germany,Rowing,Rowing Women's Coxed Fours,Gold
1980,Summer,GDR,East Germany,Cycling,Cycling Men's Sprint,Gold
1988,Summer,GDR,East Germany,Cycling,Cycling Men's Sprint,Gold
1980,Winter,SUI,Switzerland,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
