year,season,gender,sport,discipline,name,noc,team,height,weight,medal
1920,Summer,Men,Shooting,"Military Rifle, 300 metres and 600 metres, Prone, Team","Joseph ""Joe"" Jackson",USA,United States,183.0,,Gold
1912,Summer,Men,Shooting,"Military Rifle, Any Position, 600 metres",John E. Jackson,USA,United States,,,Bronze
1912,Summer,Men,Shooting,"Military Rifle, 200, 400, 500 and 600 metres, Team",John E. Jackson,USA,United States,,,Gold
1992,Summer,Men,Wrestling,"Middleweight, Freestyle",Kevin Andre Jackson,USA,United States,175.0,82.0,Gold
2000,Summer,Women,Basketball,Basketball,Lauren Elizabeth Jackson,AUS,Australia,196.0,85.0,Silver
2004,Summer,Women,Basketball,Basketball,Lauren Elizabeth Jackson,AUS,Australia,196.0,85.0,Silver
2008,Summer,Women,Basketball,Basketball,Lauren Elizabeth Jackson,AUS,Australia,196.0,85.0,Silver
2012,Summer,Women,Basketball,Basketball,Lauren Elizabeth Jackson,AUS,Australia,196.0,85.0,Bronze
1924,Winter,Men,Curling,Curling,Laurence Jackson,GBR,Great Britain,,,Gold
1964,Summer,Men,Basketball,Basketball,"Lucious Brown ""Luke"" Jackson, Jr.",USA,United States,206.0,107.0,Gold
1952,Summer,Women,Athletics,100 metres,Marjorie Jackson (-Nelson),AUS,Australia,172.0,66.0,Gold
1952,Summer,Women,Athletics,200 metres,Marjorie Jackson (-Nelson),AUS,Australia,172.0,66.0,Gold
1936,Summer,Men,Rowing,Coxless Fours,Peter Herbert Jackson,GBR,Great Britain,,,Silver
1964,Summer,Men,Rowing,Coxless Pairs,Roger Charles Jackson,CAN,Canada,199.0,86.0,Gold
2016,Summer,Women,Athletics,400 metres,Shericka Jackson,JAM,Jamaica,173.0,61.0,Bronze
2016,Summer,Women,Athletics,4 x 400 metres Relay,Shericka Jackson,JAM,Jamaica,173.0,61.0,Silver
1992,Summer,Women,Basketball,Basketball,Tammy Eloise Jackson,USA,United States,190.0,81.0,Bronze
1996,Summer,Women,Swimming,4 x 200 metres Freestyle Relay,Trina Marie Jackson (-Falca),USA,United States,170.0,58.0,Gold
1924,Winter,Men,Curling,Curling,"William Kilgour ""Willie"" Jackson",GBR,Great Britain,,,Gold
1988,Summer,Women,Athletics,200 metres,Grace Jackson-Small,JAM,Jamaica,178.0,61.0,Silver
1920,Summer,Men,Gymnastics,Team All-Around,Domien Franois Jacob,BEL,Belgium,170.0,70.0,Silver
1924,Summer,Men,Sailing,8 metres,Edwin Ellis Jacob,GBR,Emily,,,Silver
1968,Summer,Men,Rowing,Coxed Fours,Klaus Jacob,GDR,East Germany,185.0,82.0,Silver
1996,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Lisa Rae Jacob,USA,United States,167.0,57.0,Gold
1996,Summer,Women,Swimming,4 x 200 metres Freestyle Relay,Lisa Rae Jacob,USA,United States,167.0,57.0,Gold
1984,Winter,Men,Biathlon,10 kilometres Sprint,Matthias Jacob,GDR,East Germany,179.0,70.0,Bronze
1936,Summer,Women,Swimming,100 metres Freestyle,Gisela Jacob-Arendt,GER,Germany,,,Bronze
1936,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Gisela Jacob-Arendt,GER,Germany,,,Silver
2006,Winter,Women,Snowboarding,Boardercross,Lindsey Jacobellis,USA,United States,168.0,64.0,Silver
1992,Summer,Men,Canoeing,"Canadian Doubles, Slalom","Joseph Bennet ""Joe"" Jacobi",USA,United States-1,175.0,75.0,Gold
2016,Summer,Men,Hockey,Hockey,Nicolas Jacobi,GER,Germany,193.0,95.0,Bronze
2014,Winter,Men,Curling,Curling,"Bradley ""Brad"" Jacobs",CAN,Canada,180.0,81.0,Gold
1988,Summer,Men,Swimming,100 metres Freestyle,"Christopher Charles ""Chris"" Jacobs",USA,United States,185.0,82.0,Silver
1988,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,"Christopher Charles ""Chris"" Jacobs",USA,United States,185.0,82.0,Gold
1988,Summer,Men,Swimming,4 x 100 metres Medley Relay,"Christopher Charles ""Chris"" Jacobs",USA,United States,185.0,82.0,Gold
1908,Summer,Men,Athletics,Pole Vault,Clare Stephen Jacobs,USA,United States,178.0,64.0,Bronze
1912,Summer,Men,Athletics,4 x 100 metres Relay,David Henry Jacobs,GBR,Great Britain,175.0,70.0,Gold
1904,Summer,Men,Tug-Of-War,Tug-Of-War,Harry Jacobs,USA,St. Louis Southwest Turnverein #2-3,,,Bronze
1984,Summer,Women,Athletics,4 x 100 metres Relay,Kim Simone Geraldine Jacobs,GBR,Great Britain,155.0,51.0,Bronze
2010,Winter,Men,Ski Jumping,"Large Hill, Team",Anders Jacobsen,NOR,Norway,173.0,59.0,Bronze
1932,Summer,Women,Swimming,200 metres Breaststroke,Else Agnes Ella Jacobsen (-Baade),DEN,Denmark,,,Bronze
1912,Summer,Men,Gymnastics,"Team All-Around, Swedish System",Olaf Jacobsen,NOR,Norway,,,Bronze
2000,Summer,Men,Sailing,Three Person Keelboat,Thomas Jacobsen,DEN,Denmark,194.0,90.0,Gold
1964,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,Uwe Jacobsen,GER,Germany,182.0,79.0,Silver
1976,Summer,Men,Fencing,"epee, Team",Hans Olov Dan Jacobson,SWE,Sweden,180.0,71.0,Gold
2004,Summer,Women,Fencing,"Sabre, Individual",Sada Molly Jacobson (-Bby),USA,United States,170.0,70.0,Bronze
2008,Summer,Women,Fencing,"Sabre, Individual",Sada Molly Jacobson (-Bby),USA,United States,170.0,70.0,Silver
2008,Summer,Women,Fencing,"Sabre, Team",Sada Molly Jacobson (-Bby),USA,United States,170.0,70.0,Bronze
1904,Summer,Men,Roque,Singles,Charles Jacobus,USA,United States,,,Gold
1924,Summer,Men,Art Competitions,Painting,Jean Lucien Nicolas Jacoby,LUX,Luxembourg,,,Gold
1928,Summer,Men,Art Competitions,"Painting, Drawings And Water Colors",Jean Lucien Nicolas Jacoby,LUX,Luxembourg,,,Gold
1920,Summer,Men,Rowing,Coxed Eights,Virgil Victor Jacomini,USA,United States,188.0,80.0,Gold
1988,Summer,Women,Equestrianism,"Jumping, Team",Lisa Ann Jacquin,USA,United States,172.0,64.0,Silver
1988,Summer,Men,Weightlifting,Heavyweight II,Jzsef Jacs,HUN,Hungary,190.0,110.0,Silver
1952,Summer,Men,Wrestling,"Bantamweight, Freestyle",Khashaba Dadasaheb  Jahdav,IND,India,,,Bronze
1996,Summer,Men,Wrestling,"Heavyweight, Freestyle",Abbas Jadidi,IRI,Iran,185.0,99.0,Silver
1932,Summer,Men,Fencing,"epee, Team",Tracy Jaeckel,USA,United States,179.0,,Bronze
2016,Summer,Men,Swimming,"1,500 metres Freestyle",Connor Jaeger,USA,United States,185.0,77.0,Silver
1932,Winter,Men,Ice Hockey,Ice Hockey,Gustav Jaenecke,GER,Germany,,,Bronze
2016,Summer,Men,Volleyball,Volleyball,"Thomas ""Tom"" Jaeschke",USA,United States,198.0,91.0,Bronze
1932,Summer,Men,Hockey,Hockey,Sayed Muhammad Jaffar,IND,India,173.0,,Gold
1936,Summer,Men,Hockey,Hockey,Sayed Muhammad Jaffar,IND,India,173.0,,Gold
1932,Summer,Men,Sailing,Two Person Keelboat,James Peter Jaffe,GBR,Joy,,,Silver
1992,Summer,Men,Swimming,4 x 200 metres Freestyle Relay,Scott Erik Jaffe,USA,United States,193.0,84.0,Bronze
1932,Winter,Men,Speed Skating,"5,000 metres",Irving Warren Jaffee,USA,United States,,,Gold
1932,Winter,Men,Speed Skating,"10,000 metres",Irving Warren Jaffee,USA,United States,,,Gold
1968,Summer,Men,Rowing,Coxed Eights,Juozas Jagelaviius,URS,Soviet Union,187.0,83.0,Bronze
1976,Summer,Men,Gymnastics,Team All-Around,Bernd Jger,GDR,East Germany,160.0,59.0,Bronze
2016,Summer,Men,Athletics,"3,000 metres Steeplechase",Evan Reese Jager,USA,United States,188.0,65.0,Silver
1984,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Gold
1984,Summer,Men,Swimming,4 x 100 metres Medley Relay,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Gold
1988,Summer,Men,Swimming,50 metres Freestyle,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Silver
1988,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Gold
1988,Summer,Men,Swimming,4 x 100 metres Medley Relay,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Gold
1992,Summer,Men,Swimming,50 metres Freestyle,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Bronze
1992,Summer,Men,Swimming,4 x 100 metres Freestyle Relay,"Thomas Michael ""Tom"" Jager",USA,United States,190.0,82.0,Gold
1992,Winter,Men,Alpine Skiing,Slalom,Finn Christian Jagge,NOR,Norway,178.0,89.0,Gold
1928,Summer,Women,Gymnastics,Team All-Around,Amy Crossley Jagger (-Fisher),GBR,Great Britain,,,Bronze
1998,Winter,Men,Ice Hockey,Ice Hockey,Jaromr Jgr,CZE,Czech Republic,189.0,102.0,Gold
2006,Winter,Men,Ice Hockey,Ice Hockey,Jaromr Jgr,CZE,Czech Republic,189.0,102.0,Bronze
1952,Summer,Men,Wrestling,"Lightweight, Freestyle",Tofigh Jahanbakht,IRI,Iran,,,Bronze
1976,Summer,Women,Rowing,Double Sculls,Sabine Jahn (-Gust),GDR,East Germany,174.0,69.0,Silver
1972,Summer,Women,Athletics,400 metres,Rita Jahn-Wilden,FRG,West Germany,170.0,57.0,Silver
1972,Summer,Women,Athletics,4 x 400 metres Relay,Rita Jahn-Wilden,FRG,West Germany,170.0,57.0,Bronze
1968,Summer,Men,Sailing,Three Person Keelboat,Barton Williams Benedict Jahncke,USA,United States,188.0,89.0,Gold
1908,Summer,Men,Gymnastics,Team All-Around,Curt Hugo Jahnke,SWE,Sweden,,,Gold
1984,Winter,Women,Cross Country Skiing,20 kilometres,Anne Jahren,NOR,Norway,176.0,59.0,Bronze
1984,Winter,Women,Cross Country Skiing,4 x 5 kilometres Relay,Anne Jahren,NOR,Norway,176.0,59.0,Gold
1988,Winter,Women,Cross Country Skiing,4 x 5 kilometres Relay,Anne Jahren,NOR,Norway,176.0,59.0,Silver
1976,Summer,Men,Rowing,Coxed Pairs,Harald Jhrling,GDR,East Germany,198.0,94.0,Gold
1980,Summer,Men,Rowing,Coxed Pairs,Harald Jhrling,GDR,East Germany,198.0,94.0,Gold
2000,Summer,Men,Rowing,Coxed Eights,"Robert ""Rob"" Jahrling",AUS,Australia,204.0,96.0,Silver
1988,Summer,Men,Sailing,Three Person Keelboat,Bernd Jkel,GDR,East Germany,179.0,89.0,Gold
1996,Summer,Men,Sailing,Three Person Keelboat,Bernd Jkel,GER,Germany,179.0,89.0,Gold
1994,Winter,Men,Ski Jumping,"Large Hill, Team",Hansjrg Jkle,GER,Germany,185.0,66.0,Gold
1998,Winter,Men,Ski Jumping,"Large Hill, Team",Hansjrg Jkle,GER,Germany,185.0,66.0,Silver
1998,Winter,Men,Bobsleigh,Four,Marco Jakobs,GER,Germany-2,200.0,113.0,Gold
1920,Summer,Men,Sailing,8 metres,Alf Kristian Brun Jakobsen,NOR,Irene,,,Gold
1920,Summer,Men,Gymnastics,"Team All-Around, Swedish System",Hans Hovgaard Jakobsen,DEN,Denmark,,,Silver
1984,Summer,Men,Canoeing,"Canadian Singles, 500 metres",Henning Lynge Jakobsen,DEN,Denmark,184.0,72.0,Silver
1984,Summer,Men,Canoeing,"Canadian Singles, 1,000 metres",Henning Lynge Jakobsen,DEN,Denmark,184.0,72.0,Bronze
2012,Summer,Men,Handball,Handball,Johan Mikael Jakobsson,SWE,Sweden,195.0,98.0,Silver
2016,Summer,Women,Football,Football,Eva Sofia Jakobsson,SWE,Sweden,174.0,62.0,Silver
2008,Summer,Men,Handball,Handball,Sverre Andreas Jakobsson,ISL,Iceland,196.0,97.0,Silver
1920,Summer,Men,Figure Skating,Pairs,Walter Andreas Jakobsson,FIN,Finland,174.0,73.0,Gold
1924,Winter,Men,Figure Skating,Pairs,Walter Andreas Jakobsson,FIN,Finland,174.0,73.0,Silver
1920,Summer,Women,Figure Skating,Pairs,Ludovika Antje Margareta Jakobsson-Eilers,FIN,Finland,165.0,58.0,Gold
1924,Winter,Women,Figure Skating,Pairs,Ludovika Antje Margareta Jakobsson-Eilers,FIN,Finland,165.0,58.0,Silver
1992,Summer,Men,Shooting,"Running Target, 10 metres",Michael Georg Jakosits,GER,Germany,184.0,85.0,Gold
2010,Winter,Men,Cross Country Skiing,4 x 10 kilometres Relay,Martin Jak,CZE,Czech Republic,185.0,74.0,Bronze
2016,Summer,Men,Rowing,Coxed Eights,Malte Jakschik,GER,Germany,194.0,93.0,Silver
2016,Summer,Men,Water Polo,Water Polo,Nikola Jaki,SRB,Serbia,197.0,89.0,Gold
1964,Summer,Women,Volleyball,Volleyball,Krystyna Jakubowska (Tabaka-),POL,Poland,178.0,66.0,Bronze
1968,Summer,Women,Volleyball,Volleyball,Krystyna Jakubowska (Tabaka-),POL,Poland,178.0,66.0,Bronze
1980,Summer,Men,Football,Football,Bernd Jakubowski,GDR,East Germany,188.0,84.0,Silver
1968,Summer,Men,Weightlifting,Lightweight,Parviz Jalayer,IRI,Iran,170.0,68.0,Silver
1936,Winter,Men,Cross Country Skiing,4 x 10 kilometres Relay,Kalle Jalkanen,FIN,Finland,173.0,65.5,Gold
2012,Summer,Women,Athletics,"1,500 metres",Maryam Yusuf Jamal,BRN,Bahrain,170.0,61.0,Bronze
2016,Summer,Women,Cycling,Sprint,"Rebecca Angharad ""Becky"" James",GBR,Great Britain,171.0,66.0,Silver
2016,Summer,Women,Cycling,Keirin,"Rebecca Angharad ""Becky"" James",GBR,Great Britain,171.0,66.0,Silver
2004,Summer,Men,Athletics,4 x 400 metres Relay,Godday James,NGR,Nigeria,170.0,72.0,Bronze
1920,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Hilda Marjorie James (-McAllister),GBR,Great Britain,,,Silver
1964,Summer,Men,Rowing,Coxless Fours,John Jesse James,GBR,Great Britain,183.0,75.0,Silver
2012,Summer,Men,Athletics,400 metres,Kirani James,GRN,Grenada,180.0,66.0,Gold
2016,Summer,Men,Athletics,400 metres,Kirani James,GRN,Grenada,180.0,66.0,Silver
1968,Summer,Men,Athletics,400 metres,"George Lawrence ""Larry"" James",USA,United States,181.0,70.0,Silver
1968,Summer,Men,Athletics,4 x 400 metres Relay,"George Lawrence ""Larry"" James",USA,United States,181.0,70.0,Gold
2004,Summer,Men,Basketball,Basketball,LeBron Raymone James,USA,United States,203.0,114.0,Bronze
2008,Summer,Men,Basketball,Basketball,LeBron Raymone James,USA,United States,203.0,114.0,Gold
2012,Summer,Men,Basketball,Basketball,LeBron Raymone James,USA,United States,203.0,114.0,Gold
1976,Summer,Men,Weightlifting,Middle-Heavyweight,"Lee Roy James, Jr.",USA,United States,173.0,90.0,Silver
2008,Summer,Men,Football,Football,Monday James,NGR,Nigeria,180.0,70.0,Silver
2008,Summer,Men,Rowing,Coxless Fours,"Thomas Watkin ""Tom"" James",GBR,Great Britain,193.0,93.0,Gold
2012,Summer,Men,Rowing,Coxless Fours,"Thomas Watkin ""Tom"" James",GBR,Great Britain,193.0,93.0,Gold
1920,Summer,Men,Rowing,Coxed Eights,Walter Ernest Christopher James,GBR,Great Britain,,86.0,Silver
1988,Summer,Men,Swimming,100 metres Butterfly,"Andrew David ""Andy"" Jameson",GBR,Great Britain,190.0,79.0,Bronze
1904,Summer,Men,Football,Football,Claude Stanley Jameson,USA,St. Rose-2,,,Bronze
1980,Summer,Women,Swimming,4 x 100 metres Medley Relay,Helen Jameson,GBR,Great Britain,173.0,60.0,Silver
1904,Summer,Men,Football,Football,Henry Wood Jameson,USA,St. Rose-2,,,Bronze
1904,Summer,Men,Lacrosse,Lacrosse,Benjamin Jamieson,CAN,Winnipeg Shamrocks-1,,75.0,Gold
1996,Summer,Men,Rowing,Quadruple Sculls,Brian G. Jamieson,USA,United States,193.0,95.0,Silver
2012,Summer,Men,Swimming,200 metres Breaststroke,Michael John Jamieson,GBR,Great Britain,186.0,81.0,Silver
1896,Summer,Men,Athletics,400 metres,Herbert Brotherson Jamison,USA,United States,173.0,69.0,Silver
2016,Summer,Men,Rowing,Quadruple Sculls,Andrei Jms,EST,Estonia,184.0,90.0,Bronze
1980,Summer,Men,Wrestling,"Welterweight, Freestyle",Jamtsyn Davaajav,MGL,Mongolia,165.0,68.0,Silver
1920,Summer,Men,Sailing,10 metres,Gunnar Petter Jamvold,NOR,Eleda,,,Gold
1920,Summer,Men,Sailing,10 metres,Peter Krefting Jamvold,NOR,Eleda,,,Gold
1976,Summer,Men,Fencing,"epee, Team",Hanns Jana,FRG,West Germany,188.0,78.0,Silver
1900,Summer,Men,Athletics,Discus Throw,Frantiek Janda-Suk,BOH,Bohemia,,,Silver
1992,Winter,Men,Ice Hockey,Ice Hockey,Otakar Janeck,TCH,Czechoslovakia,180.0,83.0,Bronze
1992,Summer,Men,Volleyball,Volleyball,Janelson dos Santos Carvalho,BRA,Brazil,195.0,85.0,Gold
1996,Summer,Women,Basketball,Basketball,Janeth dos Santos Arcain,BRA,Brazil,182.0,67.0,Silver
2000,Summer,Women,Basketball,Basketball,Janeth dos Santos Arcain,BRA,Brazil,182.0,67.0,Bronze
1964,Summer,Men,Wrestling,"Flyweight, Freestyle",Jang Chang-Seon,KOR,South Korea,158.0,56.0,Silver
1976,Summer,Men,Judo,Lightweight,Jang Eun-Gyeong,KOR,South Korea,157.0,66.0,Silver
1988,Summer,Women,Hockey,Hockey,Jang Eun-Jeong,KOR,South Korea,164.0,57.0,Silver
1996,Summer,Women,Hockey,Hockey,Jang Eun-Jeong,KOR,South Korea,164.0,57.0,Silver
1996,Summer,Women,Badminton,Doubles,Jang Hye-Ok,KOR,South Korea-2,,,Silver
1976,Summer,Women,Volleyball,Volleyball,Jang Hye-Suk,KOR,South Korea,171.0,64.0,Bronze
1996,Summer,Men,Wrestling,"Featherweight, Freestyle",Jang Jae-Seong,KOR,South Korea,173.0,63.0,Silver
2000,Summer,Men,Wrestling,"Lightweight, Freestyle",Jang Jae-Seong,KOR,South Korea,173.0,63.0,Bronze
2004,Summer,Women,Taekwondo,Featherweight,Jang Ji-Won,KOR,South Korea,174.0,57.0,Gold
2004,Summer,Women,Weightlifting,Super-Heavyweight,Jang Mi-Ran,KOR,South Korea,170.0,118.0,Silver
2008,Summer,Women,Weightlifting,Super-Heavyweight,Jang Mi-Ran,KOR,South Korea,170.0,118.0,Gold
1972,Summer,Women,Volleyball,Volleyball,Jang Ok-Rim,PRK,North Korea,173.0,76.0,Bronze
1992,Summer,Women,Handball,Handball,Jang Ri-Ra,KOR,South Korea,,,Gold
1980,Summer,Men,Wrestling,"Light-Flyweight, Freestyle",Jang Se-Hong,PRK,North Korea,155.0,50.0,Silver
2000,Summer,Men,Baseball,Baseball,Jang Seong-Ho,KOR,South Korea,183.0,79.0,Bronze
2004,Summer,Men,Judo,Half-Heavyweight,Jang Seong-Ho,KOR,South Korea,190.0,100.0,Silver
2004,Summer,Women,Handball,Handball,Jang So-Hui,KOR,South Korea,163.0,60.0,Silver
1968,Summer,Men,Boxing,Bantamweight,Jang Sun-Gil,KOR,South Korea,167.0,54.0,Bronze
2008,Summer,Men,Baseball,Baseball,Jang Won-Sam,KOR,South Korea,181.0,78.0,Gold
1996,Summer,Men,Archery,Team,Jang Yong-Ho,KOR,South Korea,171.0,65.0,Silver
2000,Summer,Men,Archery,Team,Jang Yong-Ho,KOR,South Korea,171.0,65.0,Gold
2004,Summer,Men,Archery,Team,Jang Yong-Ho,KOR,South Korea,171.0,65.0,Gold
1948,Summer,Men,Shooting,"Free Rifle, Three Positions, 300 metres",Pauli Aapeli Janhonen,FIN,Finland,175.0,65.0,Silver
1984,Summer,Men,Canoeing,"Kayak Singles, 1,000 metres",Milan Jani,YUG,Yugoslavia,178.0,83.0,Silver
1972,Summer,Women,Diving,Springboard,Marina Janicke (-Hhne),GDR,East Germany,160.0,51.0,Bronze
1972,Summer,Women,Diving,Platform,Marina Janicke (-Hhne),GDR,East Germany,160.0,51.0,Bronze
2012,Summer,Men,Wrestling,"Light-Heavyweight, Greco-Roman",Damian Janikowski,POL,Poland,180.0,84.0,Bronze
2000,Summer,Women,Volleyball,Volleyball,Janina Dia Chagas da Conceio,BRA,Brazil,192.0,82.0,Bronze
2010,Winter,Men,Alpine Skiing,Giant Slalom,Carlo Janka,SUI,Switzerland,185.0,86.0,Gold
1968,Summer,Women,Athletics,Javelin Throw,Eva Janko (Egger-),AUT,Austria,180.0,72.0,Bronze
1984,Summer,Women,Handball,Handball,Ljubinka Jankovi (Erdevicki-),YUG,Yugoslavia,168.0,60.0,Gold
1964,Summer,Men,Water Polo,Water Polo,Zoran Jankovi,YUG,Yugoslavia,178.0,95.0,Silver
1968,Summer,Men,Water Polo,Water Polo,Zoran Jankovi,YUG,Yugoslavia,178.0,95.0,Gold
1928,Summer,Men,Rowing,Coxed Fours,Edmund Bernard Jankowski,POL,Poland,174.0,72.0,Bronze
1992,Summer,Men,Rowing,Coxed Fours,Wojciech Jankowski,POL,Poland,195.0,98.0,Bronze
1928,Summer,Men,Football,Football,Antonio Janni,ITA,Italy,,,Bronze
1928,Summer,Men,Hockey,Hockey,Gerrit Jan Arnold Jannink,NED,Netherlands,,,Silver
1988,Summer,Men,Football,Football,Arvydas Janonis,URS,Soviet Union,181.0,81.0,Gold
1972,Summer,Men,Rowing,Coxed Fours,Vladimr Jno,TCH,Czechoslovakia,192.0,89.0,Bronze
1988,Summer,Women,Fencing,"Foil, Team","Zsuzsanna ""Zsuzsa"" Jnosi-Nmeth",HUN,Hungary,172.0,58.0,Bronze
1960,Summer,Men,Rowing,Coxed Eights,Bohumil Janouek,TCH,Czechoslovakia,182.0,83.0,Bronze
1964,Summer,Men,Rowing,Coxed Eights,Bohumil Janouek,TCH,Czechoslovakia,182.0,83.0,Bronze
1992,Summer,Men,Rowing,Coxless Fours,Milan Jana,SLO,Slovenia,190.0,90.0,Bronze
1912,Summer,Men,Gymnastics,"Team All-Around, Swedish System",Axel Johan Janse,SWE,Sweden,,,Gold
1994,Winter,Men,Speed Skating,"1,000 metres","Daniel Ervin ""Dan"" Jansen",USA,United States,183.0,88.0,Gold
1968,Summer,Men,Cycling,"Tandem Sprint, 2,000 metres","Johannes Hendrikus ""Jan"" Jansen",NED,Netherlands,174.0,74.0,Silver
1936,Summer,Men,Weightlifting,Lightweight,Karl Jansen,GER,Germany,,67.0,Bronze
1988,Summer,Men,Football,Football,Olaf Janen,FRG,West Germany,177.0,70.0,Bronze
1948,Summer,Men,Hockey,Hockey,"Patrick Anthony ""Pat"" Jansen",IND,India,,,Gold
1988,Summer,Men,Hockey,Hockey,"Franciscus Ronaldus Maria ""Ronald"" Jansen",NED,Netherlands,175.0,86.0,Bronze
1996,Summer,Men,Hockey,Hockey,"Franciscus Ronaldus Maria ""Ronald"" Jansen",NED,Netherlands,175.0,86.0,Gold
2000,Summer,Men,Hockey,Hockey,"Franciscus Ronaldus Maria ""Ronald"" Jansen",NED,Netherlands,175.0,86.0,Gold
2004,Summer,Men,Handball,Handball,Torsten Johannes Jansen,GER,Germany,185.0,89.0,Silver
1920,Summer,Men,Tug-Of-War,Tug-Of-War,Sijtse Jansma,NED,Netherlands,,,Silver
1956,Summer,Men,Sailing,Three Person Keelboat,Jonathan Janson,GBR,Bluebottle,190.0,95.0,Bronze
2010,Winter,Men,Alpine Skiing,Giant Slalom,Kjetil Jansrud,NOR,Norway,185.0,83.0,Silver
2014,Winter,Men,Alpine Skiing,Downhill,Kjetil Jansrud,NOR,Norway,185.0,83.0,Bronze
2014,Winter,Men,Alpine Skiing,Super G,Kjetil Jansrud,NOR,Norway,185.0,83.0,Gold
1920,Summer,Men,Tug-Of-War,Tug-Of-War,"Hendrikus Alexander ""Henk"" Janssen",NED,Netherlands,,,Silver
2016,Summer,Women,Rowing,Quadruple Sculls,Inge Janssen,NED,Netherlands,182.0,74.0,Silver
1920,Summer,Men,Cycling,"Road Race, Team",Jean Janssens,BEL,Belgium,,,Bronze
1908,Summer,Men,Shooting,"Free Rifle, Three Positions, 300 metres, Team",Carl Axel Jansson,SWE,Sweden,,,Silver
1928,Summer,Men,Cycling,"Road Race, Team",Erik Halvar Jansson,SWE,Sweden,,,Bronze
1920,Summer,Men,Athletics,Triple Jump,Folke Georg Jansson,SWE,Sweden,187.0,80.0,Silver
1952,Summer,Men,Athletics,Marathon,Gustaf Nils Jansson,SWE,Sweden,178.0,67.0,Bronze
1920,Summer,Men,Gymnastics,"Team All-Around, Free System",Carl August Herold Jansson,DEN,Denmark,,,Gold
1912,Summer,Men,Diving,Plain High,Carl Johan Erik Jansson,SWE,Sweden,,,Bronze
1920,Summer,Men,Diving,Plain High,Carl Johan Erik Jansson,SWE,Sweden,,,Bronze
1924,Summer,Men,Diving,Plain High,Carl Johan Erik Jansson,SWE,Sweden,,,Silver
2002,Winter,Women,Ice Hockey,Ice Hockey,Nanna Kristina Jansson,SWE,Sweden,172.0,67.0,Bronze
2006,Winter,Women,Ice Hockey,Ice Hockey,Nanna Kristina Jansson,SWE,Sweden,172.0,67.0,Silver
1952,Summer,Men,Sailing,6 metres,Ragnar Rafael Jansson,FIN,Ralia,,,Bronze
1956,Summer,Men,Wrestling,"Middleweight, Greco-Roman",Karl Axel Rune Jansson,SWE,Sweden,177.0,87.0,Bronze
1904,Summer,Men,Football,Football,"Charles James Hicks January, Jr.",USA,Christian Brothers' College-1,,,Silver
1904,Summer,Men,Football,Football,John Hartnett January,USA,Christian Brothers' College-1,,,Silver
1904,Summer,Men,Football,Football,"Thomas Thurston ""Tom"" January",USA,Christian Brothers' College-1,,,Silver
1996,Summer,Men,Shooting,"Running Target, 10 metres",Miroslav Janu,CZE,Czech Republic,183.0,80.0,Bronze
1948,Summer,Men,Swimming,4 x 200 metres Freestyle Relay,"Alexandre ""Alex"" Jany",FRA,France,187.0,107.0,Bronze
1952,Summer,Men,Swimming,4 x 200 metres Freestyle Relay,"Alexandre ""Alex"" Jany",FRA,France,187.0,107.0,Bronze
1968,Summer,Women,Gymnastics,Team All-Around,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Bronze
1968,Summer,Women,Gymnastics,Uneven Bars,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Silver
1972,Summer,Women,Gymnastics,Individual All-Around,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Silver
1972,Summer,Women,Gymnastics,Team All-Around,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Silver
1972,Summer,Women,Gymnastics,Horse Vault,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Gold
1972,Summer,Women,Gymnastics,Uneven Bars,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Gold
1972,Summer,Women,Gymnastics,Balance Beam,Karin Janz (-Bttner),GDR,East Germany,156.0,46.0,Bronze
2008,Summer,Women,Volleyball,Volleyball,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",BRA,Brazil,186.0,71.0,Gold
2012,Summer,Women,Volleyball,Volleyball,"Jaqueline Maria ""Jaque"" Pereira de Carvalho Endres",BRA,Brazil,186.0,71.0,Gold
1988,Summer,Men,Handball,Handball,Boris Jarak,YUG,Yugoslavia,190.0,81.0,Bronze
1964,Summer,Men,Equestrianism,"Jumping, Team",Kurt Jarasinski,GER,Germany,178.0,70.0,Gold
1976,Summer,Women,Swimming,4 x 100 metres Freestyle Relay,Anne Elizabeth Jardin (-Alexander),CAN,Canada,179.0,77.0,Bronze
